City,Threshold,Baseline Valid Values,Anomaly Values Removed,Remaining Valid Values,Extra Missing After Threshold (%),Residual Outliers (%),Known Extreme Preservation (%),Composite Score
Dehradun,3.5,54119,620,53499,1.15,0.22,96.67,94.3
Dehradun,4.0,54119,506,53613,0.93,0.36,96.67,94.3
Dehradun,4.5,54119,437,53682,0.81,0.45,96.67,94.3
Dehradun,3.0,54119,835,53284,1.54,0.19,96.67,93.73
Dehradun,2.5,54119,1387,52732,2.56,0.19,96.67,92.12
Delhi,3.5,54434,234,54200,0.43,0.02,100.0,99.26
Delhi,4.0,54434,129,54305,0.24,0.2,100.0,99.14
Delhi,4.5,54434,70,54364,0.13,0.31,100.0,99.06
Delhi,3.0,54434,473,53961,0.87,0.01,100.0,98.6
Delhi,2.5,54434,950,53484,1.75,0.0,100.0,97.2
Jodhpur,3.5,53869,232,53637,0.43,0.07,100.0,99.15
Jodhpur,4.5,53869,74,53795,0.14,0.29,100.0,99.08
Jodhpur,4.0,53869,127,53742,0.24,0.26,100.0,99.0
Jodhpur,3.0,53869,460,53409,0.85,0.02,100.0,98.58
Jodhpur,2.5,53869,957,52912,1.78,0.0,100.0,97.16
Mumbai,3.5,54564,850,53714,1.56,0.47,100.0,96.38
Mumbai,4.0,54564,694,53870,1.27,0.71,100.0,96.25
Mumbai,3.0,54564,1182,53382,2.17,0.38,100.0,95.61
Mumbai,4.5,54564,573,53991,1.05,1.14,100.0,95.57
Mumbai,2.5,54564,1898,52666,3.48,0.39,100.0,93.5
