City,Rule Set,Heatwave Days,Heavy Rain Days,Extreme Rain Days,Heat Month Alignment (%),Rain Month Alignment (%),Heat Intensity Separation,Rain Intensity Separation,Combined Event Rate (%),Composite Score
Dehradun,season_aware_hybrid,112,172,1,100.0,100.0,2.226,5.47,1.57,142.36
Dehradun,imd_fixed,112,179,1,100.0,96.09,2.226,5.454,1.61,141.3
Dehradun,city_percentile,455,448,91,99.12,91.74,1.949,3.832,4.99,125.01
Delhi,season_aware_hybrid,303,39,1,100.0,100.0,1.789,9.693,1.88,176.48
Delhi,imd_fixed,998,45,1,95.19,86.67,1.636,9.681,5.74,173.53
Delhi,city_percentile,483,473,93,97.52,79.92,1.731,3.447,5.26,112.93
Jodhpur,season_aware_hybrid,311,17,0,100.0,100.0,1.866,13.879,1.82,219.76
Jodhpur,imd_fixed,1499,17,0,89.33,100.0,1.631,13.879,8.43,211.89
Jodhpur,city_percentile,467,491,95,96.57,81.67,1.801,3.019,5.32,110.12
Mumbai,season_aware_hybrid,18,287,26,100.0,100.0,3.45,4.63,1.67,158.64
Mumbai,imd_fixed,19,297,27,94.74,96.63,3.435,4.627,1.73,156.29
Mumbai,city_percentile,685,451,90,44.96,96.01,2.013,3.756,6.23,110.6
