City,Method,Parameter,Points Used,Noise Reduction (%),RMSE Ratio,Roughness Ratio,Composite Score
Dehradun,STL,period=180,9130,46.43,0.5427,0.509,17.26
Dehradun,Rolling,window=90,9130,14.99,0.3109,0.0704,2.71
Dehradun,STL,period=90,9130,24.28,0.3634,0.621,-0.86
Dehradun,Rolling,window=60,9130,8.96,0.2813,0.0798,-2.49
Dehradun,Rolling,window=45,9130,6.62,0.2694,0.0867,-4.54
Dehradun,Rolling,window=30,9130,4.76,0.2517,0.0985,-6.02
Dehradun,Rolling,window=15,9130,3.15,0.2213,0.1429,-7.45
Dehradun,Harmonic,harmonics=6,9130,4.76,0.3047,0.0798,-7.5
Dehradun,Harmonic,harmonics=8,9130,4.67,0.302,0.0798,-7.5
Dehradun,Harmonic,harmonics=2,9130,4.99,0.3118,0.0793,-7.51
Dehradun,Harmonic,harmonics=4,9130,4.85,0.3077,0.0797,-7.51
Dehradun,Rolling,window=7,9130,2.08,0.1752,0.2499,-9.04
Dehradun,STL,period=365,9130,2.41,0.271,0.7352,-21.78
Delhi,STL,period=180,9132,45.85,0.5432,0.5242,16.36
Delhi,Rolling,window=90,9132,15.1,0.3077,0.0784,2.76
Delhi,STL,period=90,9132,24.54,0.3692,0.6356,-1.09
Delhi,Rolling,window=60,9132,8.97,0.2773,0.0892,-2.52
Delhi,Rolling,window=45,9132,6.59,0.267,0.0967,-4.69
Delhi,Rolling,window=30,9132,4.7,0.249,0.1094,-6.2
Delhi,Harmonic,harmonics=6,9132,4.58,0.2993,0.0896,-7.68
Delhi,Harmonic,harmonics=8,9132,4.51,0.297,0.0897,-7.68
Delhi,Rolling,window=15,9132,3.06,0.2163,0.1589,-7.69
Delhi,Harmonic,harmonics=2,9132,4.8,0.306,0.089,-7.69
Delhi,Harmonic,harmonics=4,9132,4.66,0.3017,0.0895,-7.69
Delhi,Rolling,window=7,9132,1.95,0.1641,0.2758,-9.31
Delhi,STL,period=365,9132,2.03,0.2641,0.7253,-21.72
Jodhpur,STL,period=180,9132,42.76,0.5526,0.5615,12.18
Jodhpur,Rolling,window=90,9132,17.23,0.3433,0.0725,3.77
Jodhpur,STL,period=90,9132,27.3,0.4169,0.6528,-0.35
Jodhpur,Rolling,window=60,9132,10.45,0.3069,0.0847,-1.98
Jodhpur,Rolling,window=45,9132,7.77,0.2933,0.0929,-4.35
Jodhpur,Rolling,window=30,9132,5.61,0.2755,0.1061,-6.16
Jodhpur,Harmonic,harmonics=2,9132,5.85,0.3371,0.0851,-7.65
Jodhpur,Harmonic,harmonics=4,9132,5.55,0.3285,0.0864,-7.68
Jodhpur,Harmonic,harmonics=8,9132,5.36,0.323,0.087,-7.68
Jodhpur,Harmonic,harmonics=6,9132,5.45,0.3255,0.087,-7.69
Jodhpur,Rolling,window=15,9132,3.72,0.24,0.156,-7.8
Jodhpur,Rolling,window=7,9132,2.39,0.1828,0.275,-9.51
Jodhpur,STL,period=365,9132,2.55,0.2831,0.6952,-21.26
Mumbai,Rolling,window=90,9132,36.9,0.648,0.0405,13.41
Mumbai,Rolling,window=60,9132,27.81,0.6013,0.054,5.68
Mumbai,Harmonic,harmonics=2,9132,29.29,0.7071,0.047,3.6
Mumbai,STL,period=90,9132,40.54,0.6919,0.6934,2.46
Mumbai,Rolling,window=45,9132,23.54,0.5775,0.0654,2.02
Mumbai,Harmonic,harmonics=4,9132,26.33,0.6762,0.0489,1.69
Mumbai,Harmonic,harmonics=6,9132,25.25,0.6642,0.0511,0.98
Mumbai,Harmonic,harmonics=8,9132,24.44,0.6549,0.0534,0.44
Mumbai,Rolling,window=30,9132,19.37,0.5419,0.0846,-1.29
Mumbai,STL,period=180,9132,32.82,0.6805,0.6894,-4.78
Mumbai,Rolling,window=15,9132,14.2,0.4693,0.1457,-5.14
Mumbai,Rolling,window=7,9132,9.23,0.3557,0.2779,-8.77
Mumbai,STL,period=365,9132,15.81,0.5781,0.7708,-19.84
