DATE,CITY,TEMP,PRCP,WDSP,TEMP_ROLLING,TEMP_ROLLING_STD
2023-01-01,Mumbai,28.0,0.0,8.0,26.88,1.5293322539125183
2023-01-02,Mumbai,27.5,0.0,5.4,26.74375,1.5747883455668998
2023-01-03,Mumbai,25.8,0.0,7.6,26.823529411764707,1.559859533645861
2023-01-04,Mumbai,27.4,0.2,11.2,26.75,1.5451061261856645
2023-01-05,Mumbai,25.6,0.0,10.2,26.736842105263158,1.5026681922189051
2023-01-06,Mumbai,28.7,0.0,9.2,26.77,1.4700877166811652
2023-01-07,Mumbai,25.9,0.0,5.8,26.861904761904764,1.4934778841603888
2023-01-08,Mumbai,26.5,0.0,7.5,26.827272727272728,1.4665092398786141
2023-01-09,Mumbai,23.2,0.0,8.3,27.017391304347825,1.6983018721687437
2023-01-10,Mumbai,29.8,0.0,5.9,26.97083333333333,1.6765594082153379
2023-01-11,Mumbai,26.3,0.0,10.0,26.96,1.642153058233814
2023-01-12,Mumbai,27.5,0.0,11.0,27.03846153846154,1.65796910057502
2023-01-13,Mumbai,26.5,0.0,6.7,26.937037037037037,1.7090591537109507
2023-01-14,Mumbai,26.8,6.6,10.6,26.932142857142857,1.677311245974645
2023-01-15,Mumbai,27.7,0.0,10.0,26.82758620689655,1.7406682936086313
2023-01-16,Mumbai,24.7,0.0,5.8,26.716666666666665,1.8150868381113496
2023-01-17,Mumbai,28.1,0.0,6.0,26.546666666666667,1.9261778006041466
2023-01-18,Mumbai,25.5,0.0,14.7,26.60666666666667,1.9840629393057154
2023-01-19,Mumbai,26.5,0.0,15.9,26.693333333333335,2.004294240449453
2023-01-20,Mumbai,27.4,0.0,7.0,26.71333333333333,2.014556224484488
2023-01-21,Mumbai,28.7,0.0,11.2,26.773333333333333,2.0070450630360726
2023-01-22,Mumbai,26.1,0.0,8.4,26.743333333333332,1.9838456790186378
2023-01-23,Mumbai,31.2,0.0,12.3,26.743333333333336,1.9838456790186378
2023-01-24,Mumbai,25.9,0.0,9.0,26.893333333333334,2.1295836299102255
2023-01-25,Mumbai,26.7,0.0,8.3,27.14333333333333,2.1212688677287956
2023-01-26,Mumbai,29.0,0.0,9.7,27.133333333333333,2.108984611597256
2023-01-27,Mumbai,24.3,0.0,5.4,27.183333333333334,2.1063259945702386
2023-01-28,Mumbai,26.8,0.0,12.7,27.269999999999996,2.172262446835336
2023-01-29,Mumbai,23.9,0.0,12.8,27.293333333333333,2.167460508860836
2023-01-30,Mumbai,23.5,0.0,13.6,27.23,2.209719907356026
2023-01-31,Mumbai,22.9,0.0,8.1,27.32333333333333,2.288002190337351
2023-02-01,Mumbai,29.3,0.0,6.3,27.410000000000004,2.2338076353446708
2023-02-02,Mumbai,28.4,0.0,6.1,27.540000000000003,2.3837958718440433
2023-02-03,Mumbai,28.0,0.0,5.8,27.60666666666667,2.3525383698484514
2023-02-04,Mumbai,27.4,0.0,7.9,27.7,2.36264025308917
2023-02-05,Mumbai,27.8,0.2,9.4,27.776666666666667,2.3897313848953905
2023-02-06,Mumbai,25.9,0.0,9.0,27.856666666666666,2.4608217485549293
2023-02-07,Mumbai,31.0,0.0,6.8,27.983333333333334,2.4650779288700635
2023-02-08,Mumbai,30.7,0.0,9.9,27.9,2.3938138665289386
2023-02-09,Mumbai,29.5,0.0,11.2,28.073333333333334,2.4319615090723006
2023-02-10,Mumbai,27.8,0.0,8.5,28.18,2.439813446797202
2023-02-11,Mumbai,30.1,0.0,8.8,28.276666666666664,2.5292336761370584
2023-02-12,Mumbai,27.2,0.0,8.8,28.44666666666667,2.421845026696252
2023-02-13,Mumbai,24.9,0.0,12.8,28.50333333333333,2.401792912680512
2023-02-14,Mumbai,30.5,0.0,6.7,28.65,2.2398814623808296
2023-02-15,Mumbai,27.3,0.0,13.4,28.68,2.1735716673492713
2023-02-16,Mumbai,32.0,0.0,10.6,29.053333333333335,2.107414387893112
2023-02-17,Mumbai,27.5,0.0,5.6,29.163333333333334,2.2046163687438654
2023-02-18,Mumbai,29.3,0.0,8.2,29.23,2.2109679577833963
2023-02-19,Mumbai,29.7,0.0,5.6,29.386666666666663,2.286049646990591
2023-02-20,Mumbai,31.1,0.0,7.5,29.433333333333334,2.2582161610184968
2023-02-21,Mumbai,29.9,0.0,10.2,29.576666666666668,2.2872485101375624
2023-02-22,Mumbai,28.7,0.0,6.2,29.826666666666664,2.2813990464615053
2023-02-23,Mumbai,31.1,0.0,8.7,29.819999999999997,2.2781420136775545
2023-02-24,Mumbai,29.9,0.0,7.2,29.843333333333337,2.2910144317391032
2023-02-25,Mumbai,31.9,0.0,6.9,29.860000000000003,2.290249195897776
2023-02-26,Mumbai,29.4,0.0,9.0,30.05,2.3491377728567002
2023-02-27,Mumbai,28.5,4.3,7.9,30.12666666666667,2.3880353103918357
2023-02-28,Mumbai,28.3,6.2,7.4,30.19,2.3322846576132172
2023-03-01,Mumbai,24.4,0.0,6.6,30.31,2.134987684693562
2023-03-02,Mumbai,34.1,0.0,10.3,30.27,2.1425331446356064
2023-03-03,Mumbai,32.6,0.0,17.6,30.336666666666662,2.077047528772917
2023-03-04,Mumbai,30.4,7.3,8.7,30.39333333333333,2.146036174990508
2023-03-05,Mumbai,32.7,0.0,6.0,30.439999999999998,2.0955782676536194
2023-03-06,Mumbai,28.8,1.3,13.6,30.42,2.1096494234007808
2023-03-07,Mumbai,32.1,0.0,6.7,30.513333333333332,2.138438575276354
2023-03-08,Mumbai,33.4,3.0,6.2,30.416666666666668,2.176216795319336
2023-03-09,Mumbai,30.8,0.0,6.9,30.473333333333333,2.184417121549732
2023-03-10,Mumbai,31.4,0.0,6.9,30.576666666666668,2.170918021821953
2023-03-11,Mumbai,30.0,0.5,7.2,30.529999999999998,2.1743251033763307
2023-03-12,Mumbai,33.5,0.0,8.1,30.593333333333337,2.182995937780896
2023-03-13,Mumbai,32.4,0.0,6.0,30.616666666666667,2.201109960331683
2023-03-14,Mumbai,29.1,0.0,6.0,30.66,2.189095231147919
2023-03-15,Mumbai,28.5,0.0,11.0,30.746666666666666,2.151780871636401
2023-03-16,Mumbai,29.3,0.0,7.0,30.826666666666664,2.1017124927779562
2023-03-17,Mumbai,29.3,0.0,7.0,30.973333333333336,1.7641904137853248
2023-03-18,Mumbai,33.7,0.0,14.6,30.96333333333333,1.7466190657723912
2023-03-19,Mumbai,28.9,0.0,7.6,30.969999999999995,1.7534498016472078
2023-03-20,Mumbai,28.7,0.0,14.6,30.916666666666668,1.795220346351417
2023-03-21,Mumbai,32.5,0.0,10.7,30.90333333333333,1.7829621485013594
2023-03-22,Mumbai,28.2,0.0,6.4,31.086666666666666,1.8410516734648974
2023-03-23,Mumbai,31.6,4.3,9.9,31.086666666666662,1.8410516734648974
2023-03-24,Mumbai,31.8,0.0,6.7,31.02,1.789895007516116
2023-03-25,Mumbai,29.7,0.0,14.6,31.016666666666666,1.7904118835183596
2023-03-26,Mumbai,31.8,2.1,5.7,30.956666666666663,1.8072046109246196
2023-03-27,Mumbai,32.6,0.0,14.3,31.066666666666663,1.8469608463137963
2023-03-28,Mumbai,30.7,3.0,6.3,31.1,1.9006351025653325
2023-03-29,Mumbai,31.1,4.1,10.0,31.043333333333333,1.8858243113645068
2023-03-30,Mumbai,30.7,0.0,5.1,31.15666666666667,1.8670802087074918
2023-03-31,Mumbai,28.8,0.0,6.9,31.366666666666667,1.9117302748238962
2023-04-01,Mumbai,33.8,0.0,6.3,31.44333333333333,1.871691717419715
2023-04-02,Mumbai,32.8,0.0,8.3,31.540000000000003,1.8316376693342578
2023-04-03,Mumbai,28.8,0.0,6.9,31.446666666666665,1.7886101969914239
2023-04-04,Mumbai,32.3,0.0,8.6,31.683333333333334,1.905904316687465
2023-04-05,Mumbai,34.3,0.0,9.1,31.826666666666664,1.834146110325753
