DATE,CITY,TEMP,PRCP,WDSP
2023-01-01,Mumbai,28.0,0.0,8.0
2023-01-01,Delhi,24.5,0.0,7.8
2023-01-01,Dehradun,23.2,0.0,10.7
2023-01-01,Jodhpur,27.1,0.0,9.9
2023-01-02,Mumbai,27.5,0.0,5.4
2023-01-02,Delhi,23.0,0.0,9.2
2023-01-02,Dehradun,22.9,0.0,7.8
2023-01-02,Jodhpur,26.9,0.0,8.6
2023-01-03,Mumbai,25.8,0.0,7.6
2023-01-03,Delhi,25.0,0.0,6.3
2023-01-03,Dehradun,21.6,0.0,6.1
2023-01-03,Jodhpur,25.3,3.0,8.9
2023-01-04,Mumbai,27.4,0.2,11.2
2023-01-04,Delhi,24.8,0.0,7.6
2023-01-04,Dehradun,19.1,0.0,11.9
2023-01-04,Jodhpur,28.6,0.0,7.4
2023-01-05,Mumbai,25.6,0.0,10.2
2023-01-05,Delhi,27.1,0.0,11.4
2023-01-05,Dehradun,18.3,2.0,7.6
2023-01-05,Jodhpur,27.6,0.0,7.4
2023-01-06,Mumbai,28.7,0.0,9.2
2023-01-06,Delhi,26.9,0.0,10.8
2023-01-06,Dehradun,26.7,0.0,6.5
2023-01-06,Jodhpur,25.2,0.0,11.8
2023-01-07,Mumbai,25.9,0.0,5.8
2023-01-07,Delhi,24.6,0.0,7.3
2023-01-07,Dehradun,21.0,3.3,12.3
2023-01-07,Jodhpur,28.2,4.5,11.5
2023-01-08,Mumbai,26.5,0.0,7.5
2023-01-08,Delhi,19.7,0.0,9.3
2023-01-08,Dehradun,20.9,0.0,7.9
2023-01-08,Jodhpur,26.1,6.6,13.4
2023-01-09,Mumbai,23.2,0.0,8.3
2023-01-09,Delhi,25.1,0.0,19.6
2023-01-09,Dehradun,19.6,0.0,9.2
2023-01-09,Jodhpur,30.3,0.0,10.7
2023-01-10,Mumbai,29.8,0.0,5.9
2023-01-10,Delhi,23.0,0.0,7.1
2023-01-10,Dehradun,16.9,0.0,8.5
2023-01-10,Jodhpur,26.2,0.3,14.2
